event_time_ms,open,high,low,close,volume,turnover
1731279600000,80677.2,80773.4,80002.8,80428.5,5523.489,444025409.2209
1731283200000,80428.5,80888.5,80267.8,80640.0,4924.387,396944500.2569
1731286800000,80640.0,81828.5,80423.1,81276.0,8579.95,696525834.1732
1731290400000,81276.0,81604.9,81090.0,81510.7,4350.95,354162947.9363
1731294000000,81510.7,81943.8,81005.0,81680.0,5066.527,412823350.3596
1731297600000,81680.0,81800.0,81211.9,81501.3,3254.126,265210065.7483
1731301200000,81501.3,81637.3,80490.5,80781.6,6442.748,521770585.1507
1731304800000,80781.6,81298.0,80631.8,80948.3,5353.627,433550360.0202
1731308400000,80948.3,81262.9,80792.8,81158.8,3007.566,243683778.4984
1731312000000,81158.8,81435.0,81067.8,81296.4,3186.248,258934516.6814
1731315600000,81296.4,81837.9,81208.1,81754.8,5155.252,420580876.4481
1731319200000,81754.8,82440.9,81720.0,82045.5,11462.124,941098727.8015
1731322800000,82045.5,82294.5,81863.1,82184.7,4385.242,359993999.5421
1731326400000,82184.7,82555.0,81731.8,82199.1,10808.791,888130578.1224
1731330000000,82199.1,82260.0,81463.7,81874.3,9484.396,775923469.5173
1731333600000,81874.3,82740.0,81516.3,82525.6,21226.646,1744310189.3543
1731337200000,82525.6,84381.4,82363.6,84099.8,34719.937,2899816509.814
1731340800000,84099.8,84949.9,83852.0,84227.2,22028.241,1860832503.2279
1731344400000,84227.2,84916.5,84216.4,84637.0,9149.892,774395822.883
1731348000000,84637.0,85920.0,84239.9,85899.9,16900.382,1438617128.7215
1731351600000,85899.9,87128.3,85471.1,86163.7,25002.737,2154552621.6927
1731355200000,86163.7,87433.5,86102.8,86886.5,18711.984,1626877550.7426
1731358800000,86886.5,88439.0,86694.5,87959.0,20622.846,1811450967.7904
1731362400000,87959.0,88202.4,86459.6,88103.7,18820.882,1641906212.3599
1731366000000,88103.7,89828.0,88103.6,88765.4,29234.07,2602822793.749
1731369600000,88765.4,89150.0,86565.6,89076.1,22377.59,1966945864.1997
1731373200000,89076.1,89594.2,88444.0,88614.5,13066.395,1163820923.2461
1731376800000,88614.5,88953.7,87040.5,87764.2,11914.86,1047044133.5744
1731380400000,87764.2,88359.4,87544.5,88157.0,7949.18,698642381.7274
1731384000000,88157.0,89124.0,87800.0,88525.1,8884.622,786907774.0613
1731387600000,88525.1,88904.9,88240.8,88482.4,5591.376,495095872.6502
1731391200000,88482.4,89979.5,88268.1,89653.5,11322.657,1011657038.9255
1731394800000,89653.5,90077.0,89060.2,89095.3,11214.223,1003981059.7821
1731398400000,89095.3,89500.0,88820.8,89478.9,6439.956,573812490.9263
1731402000000,89478.9,89594.2,87752.8,87757.2,14085.26,1246560857.3632
1731405600000,87757.2,88168.0,85458.2,86957.2,35907.23,3120789590.2393
1731409200000,86957.2,87982.6,86700.3,87255.9,18855.765,1646871355.2207
1731412800000,87255.9,87976.4,86289.0,86439.7,11875.472,1034559932.6724
